City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,invercargill,-46.4,168.35,12.23,64,27,5.36,NZ,1730174311
83,hamilton,39.1834,-84.5333,17.77,74,75,3.6,US,1730174311
84,olonkinbyen,70.9221,-8.7187,-4.12,89,100,7.55,SJ,1730174381
85,bredasdorp,-34.5322,20.0403,13.99,92,4,2.24,ZA,1730174421
86,wagoner,35.9595,-95.3694,24.92,62,100,6.87,US,1730174563
87,portland,45.5234,-122.6762,10.26,94,65,0.45,US,1730174405
88,kodiak,57.79,-152.4072,6.73,100,100,2.57,US,1730174099
89,chadron,42.8294,-102.9999,11.65,44,100,2.57,US,1730174543
90,vilyuchinsk,52.9306,158.4028,4.15,80,100,7.36,RU,1730174568
91,margate,51.3813,1.3862,14.37,91,84,0.45,GB,1730174292
92,beboto,8.2668,16.939,21.54,63,13,0.71,TD,1730174570
93,enewetak,11.3474,162.3373,28.84,74,81,5.21,MH,1730174396
94,alofi,-19.0595,-169.9187,26.94,65,40,6.17,NU,1730174505
95,las lajitas,-24.6833,-64.25,20.98,40,0,2.17,AR,1730174561
96,izhevsk,56.85,53.2333,1.18,82,91,1.98,RU,1730174576
97,lakshettipet,18.8667,79.2167,28.82,66,31,0.83,IN,1730174577
98,badger,64.8,-147.5333,-5.57,87,100,1.54,US,1730174280
99,mitu,1.1983,-70.1733,22.19,99,100,0.94,CO,1730174581
100,sabang,5.8933,95.3214,28.36,76,67,8.91,ID,1730174582
101,walvis bay,-22.9575,14.5053,9.53,100,100,4.63,NA,1730174386
102,hermanus,-34.4187,19.2345,15.45,87,34,2.93,ZA,1730174442
103,tionk essil,12.7856,-16.5217,24.07,62,8,3.05,SN,1730174585
104,dobrotesti,44.2833,24.8833,10.95,86,18,3.68,RO,1730174588
105,smara,26.7384,-11.6719,15.74,77,0,3.22,EH,1730174589
106,prince rupert,54.3161,-130.3201,7.83,85,75,2.57,CA,1730174590
107,hithadhoo,-0.6,73.0833,27.44,78,100,4.53,MV,1730174336
108,tadine,-21.55,167.8833,23.52,72,100,5.22,NC,1730174593
109,matadi,-5.8167,13.45,25.05,84,100,1.44,CD,1730174594
110,pierre,44.3683,-100.351,12.93,58,20,2.06,US,1730174595
111,stanley,54.868,-1.6985,11.27,97,75,2.57,GB,1730174153
112,san patricio,28.017,-97.5169,25.97,74,0,6.76,US,1730174597
113,taltal,-25.4,-70.4833,16.07,83,33,1.6,CL,1730174485
114,provins,48.5833,3.1667,10.23,92,0,1.39,FR,1730174602
115,cabo san lucas,22.8909,-109.9124,26.06,59,1,4.58,MX,1730174401
116,lorengau,-2.0226,147.2712,28.71,75,92,1.77,PG,1730174604
117,sisimiut,66.9395,-53.6735,-9.96,63,53,3.96,GL,1730174606
118,pisco,-13.7,-76.2167,17.03,88,0,1.54,PE,1730174607
119,newhaven,50.7969,0.0555,15.3,92,100,1.34,GB,1730174608
120,bandar lampung,-5.4254,105.258,32.26,53,28,4.15,ID,1730174609
121,ust-nera,64.5667,143.2,-17.04,95,84,1.26,RU,1730174376
122,zuni pueblo,35.0725,-108.8506,13.4,41,1,4.89,US,1730174611
123,tindouf,27.6711,-8.1474,13.25,75,0,7.65,DZ,1730174613
124,klyuchi,52.2667,79.1667,0.75,94,100,9.33,RU,1730174337
125,tobelo,1.7284,128.0095,29.33,69,86,2.91,ID,1730174615
126,atafu village,-8.5421,-172.5159,28.31,71,95,1.88,TK,1730174402
127,kirakira,-10.4544,161.9205,29.47,70,20,3.0,SB,1730174617
128,carutapera,-1.195,-46.02,26.05,76,3,4.28,BR,1730174619
129,hadibu,12.65,54.0333,25.98,71,6,1.86,YE,1730174620
130,san antonio de pale,-1.4014,5.6325,25.42,83,100,5.47,GQ,1730174525
131,conduaga,8.862,117.4893,30.69,62,84,3.33,PH,1730174386
132,kone,-21.0595,164.8658,25.76,66,94,4.03,NC,1730174323
133,coyhaique,-45.5752,-72.0662,8.08,96,88,2.54,CL,1730174624
134,sona,45.4388,10.8255,11.51,100,4,1.54,IT,1730174625
135,mejit,10.2753,170.8646,29.15,75,97,5.69,MH,1730174316
136,rikaze,29.25,88.8833,10.33,30,2,0.54,CN,1730174347
137,ascencion de guarayos,-15.8963,-63.1881,24.12,72,63,0.34,BO,1730174629
138,acaponeta,22.4964,-105.3594,23.16,76,0,1.52,MX,1730174630
139,ambasamudram,8.7,77.4667,31.08,48,78,1.2,IN,1730174631
140,udachny,66.4167,112.4,-20.8,99,95,2.22,RU,1730174287
141,minas de marcona,-15.2119,-75.1103,13.26,83,21,2.84,PE,1730174478
142,mil'kovo,55.6078,37.7956,6.86,50,79,3.52,RU,1730174411
143,tejen,37.3834,60.5054,10.68,50,5,4.71,TM,1730174636
144,anadyr,64.75,177.4833,-6.72,86,0,4.0,RU,1730174312
145,east london,-33.0153,27.9116,16.52,72,0,3.09,ZA,1730174357
146,albany,42.6001,-73.9662,2.23,79,18,0.72,US,1730174025
147,saudarkrokur,65.7461,-19.6394,2.12,98,100,3.85,IS,1730174641
148,poshekhon'ye,58.4993,39.1353,4.78,94,100,2.99,RU,1730174642
149,mangai,-4.05,19.5333,20.88,99,43,0.65,CD,1730174353
150,bel ombre,-4.6167,55.4167,26.91,69,20,1.03,SC,1730174322
151,biberach an der riss,48.0934,9.7905,8.78,95,100,1.03,DE,1730174647
152,mana,5.6592,-53.7767,25.69,80,100,4.02,GF,1730174648
153,port alfred,-33.5906,26.891,14.54,95,71,2.68,ZA,1730174280
154,coquimbo,-29.9533,-71.3436,14.85,85,100,1.03,CL,1730174480
155,alesund,62.4723,6.1549,5.42,71,89,6.69,NO,1730174346
156,san rafael,-34.6177,-68.3301,22.75,32,7,4.07,AR,1730174652
157,longboat key,27.4125,-82.659,23.33,80,0,4.12,US,1730174654
158,remire-montjoly,4.9167,-52.2667,23.02,100,0,0.0,GF,1730174517
159,susuman,62.7833,148.1667,-13.85,87,100,1.31,RU,1730174345
160,itabira,-19.6192,-43.2269,18.1,99,100,0.71,BR,1730174657
161,labrador city,52.9463,-66.9114,-8.05,81,0,31.29,CA,1730174300
162,puerto baquerizo moreno,-0.9,-89.6,19.96,81,88,4.42,EC,1730174550
163,male,4.1748,73.5089,29.97,74,20,7.72,MV,1730174402
164,bakanas,44.8081,76.2772,6.82,57,100,3.2,KZ,1730174662
165,estherville,43.4016,-94.8328,16.42,88,0,2.06,US,1730174663
166,saipan,15.1355,145.701,32.39,74,75,4.63,MP,1730174353
167,callao,-12.0667,-77.15,17.16,82,75,5.14,PE,1730174283
168,sumbe,-11.2061,13.8437,24.05,82,79,2.41,AO,1730174667
169,ternate,0.8,127.4,29.4,71,85,3.99,ID,1730174668
170,solikamsk,59.6196,56.7729,0.06,84,100,1.66,RU,1730174669
171,santa ana,33.7456,-117.8678,17.42,79,75,2.24,US,1730174670
172,la sarre,48.8002,-79.1996,0.82,50,100,5.35,CA,1730174561
173,fort st. john,56.2499,-120.8529,-5.06,80,75,2.57,CA,1730174299
